ID,oneway,coords
32500272,yes,"[(-15.6487598, -56.1471192), (-15.6487332, -56.1472109), (-15.6486855, -56.1473757), (-15.6482478, -56.1488267), (-15.6481441, -56.1491502), (-15.6479243, -56.1498865), (-15.647702, -56.1506252), (-15.6476137, -56.1509212), (-15.6474891, -56.1513241), (-15.6473433, -56.1516839), (-15.6472056, -56.1519914), (-15.6470112, -56.1523414), (-15.6466539, -56.15287), (-15.6464947, -56.1530911), (-15.64586, -56.1539608), (-15.6452259, -56.1548661), (-15.6445814, -56.1557485), (-15.6444136, -56.1560087), (-15.6442237, -56.1563386), (-15.6440894, -56.1566591), (-15.6440103, -56.156913), (-15.6438613, -56.1574772), (-15.6437226, -56.1579262), (-15.6436685, -56.1582144), (-15.6435882, -56.1585732), (-15.6434928, -56.1589994), (-15.6432358, -56.1600494), (-15.6430679, -56.1606087), (-15.6428923, -56.1611304), (-15.642675, -56.1617998), (-15.6425558, -56.1621664), (-15.6425349, -56.1622318), (-15.6422078, -56.1631876), (-15.6418604, -56.1642015), (-15.641826, -56.1642781), (-15.6412767, -56.165847), (-15.6411536, -56.1661585), (-15.6409611, -56.1666662), (-15.64079, -56.1671368), (-15.6404187, -56.1681208), (-15.6403487, -56.1683222), (-15.6402952, -56.1684649), (-15.6402577, -56.1686057), (-15.6402048, -56.1688323), (-15.6401799, -56.1689933), (-15.6401675, -56.1693008), (-15.6401676, -56.1694992), (-15.6401854, -56.1697041), (-15.6402009, -56.1698033), (-15.640222, -56.1699078), (-15.6402729, -56.1701609), (-15.6402987, -56.1702889), (-15.6405715, -56.1714716), (-15.640848, -56.1727128), (-15.6408589, -56.1727616), (-15.6411024, -56.1738547), (-15.641132, -56.1739864), (-15.6412652, -56.1745793), (-15.6413748, -56.1750671), (-15.6415169, -56.1756472), (-15.6415815, -56.1760327), (-15.6415941, -56.1761344), (-15.6416267, -56.1763064)]"
32541637,yes,"[(-15.6060448, -56.078892), (-15.6054164, -56.0783357), (-15.6052593, -56.078207), (-15.6050573, -56.0780139), (-15.6049026, -56.077866), (-15.6044788, -56.0774608), (-15.6043996, -56.0773851), (-15.6043472, -56.077335), (-15.6042373, -56.0772304), (-15.6036432, -56.0766689), (-15.6034314, -56.0764866), (-15.6032014, -56.0763404), (-15.6028876, -56.0762036), (-15.602838, -56.0761831), (-15.6027341, -56.0761418), (-15.6025886, -56.0761005), (-15.6025692, -56.0760955), (-15.602463, -56.0760799), (-15.602274, -56.0760628), (-15.6020028, -56.0760494), (-15.6016656, -56.0760976), (-15.601353, -56.0761781), (-15.6011799, -56.0762519), (-15.6009248, -56.0763577), (-15.6003378, -56.0766046), (-15.6002486, -56.0766301), (-15.6000394, -56.0767065), (-15.5999296, -56.0767481), (-15.5997578, -56.0768151), (-15.5995834, -56.0768741), (-15.5990791, -56.077132), (-15.5990518, -56.077146), (-15.5990182, -56.0771591), (-15.5988161, -56.0772379), (-15.5986783, -56.0772937), (-15.5985545, -56.0773439), (-15.598174, -56.077494), (-15.5978667, -56.0776153), (-15.5977826, -56.0776485)]"
32881220,yes,"[(-15.6244305, -56.1164199), (-15.62423, -56.1166069), (-15.6233868, -56.1173527)]"
32910238,yes,"[(-15.6388981, -56.1204878), (-15.6388876, -56.1203472), (-15.6388392, -56.1202156), (-15.6387569, -56.1201035), (-15.6386475, -56.1200203), (-15.6385219, -56.119973), (-15.6383886, -56.1199639), (-15.6382582, -56.1199937), (-15.6381585, -56.1200501), (-15.6381409, -56.12006)]"
33615482,yes,"[(-15.6347605, -56.0459263), (-15.6346557, -56.0461571), (-15.6345772, -56.0463114), (-15.6344832, -56.0464727), (-15.6343849, -56.0466233), (-15.6341363, -56.0469951), (-15.6340499, -56.0471521), (-15.6339813, -56.0472969), (-15.6339487, -56.0473786), (-15.6338911, -56.0475265)]"
33745763,yes,"[(-15.6350876, -56.0454693), (-15.6349787, -56.0455688), (-15.6348916, -56.0456699), (-15.6347605, -56.0459263)]"
33747333,yes,"[(-15.6535422, -55.9910842), (-15.6533591, -55.9914914), (-15.6531201, -55.9919688), (-15.6528554, -55.9924798), (-15.6527121, -55.992756), (-15.6525765, -55.9930632), (-15.652344, -55.9936278), (-15.6515836, -55.9955025), (-15.6511696, -55.9964866), (-15.6509789, -55.9969651)]"
34212614,no,"[(-15.6032906, -56.2042281), (-15.6029258, -56.2044238)]"
34212615,yes,"[(-15.6492435, -56.1955303), (-15.6490142, -56.1958891), (-15.6489193, -56.1960487), (-15.6488321, -56.1961734), (-15.6488146, -56.1961947), (-15.6487469, -56.1962767), (-15.6486235, -56.1964135), (-15.6484238, -56.1965707), (-15.64588, -56.1984546), (-15.6448875, -56.1991795), (-15.644287, -56.1996181), (-15.6430731, -56.2003717), (-15.6428312, -56.2005219), (-15.6405283, -56.2019516), (-15.6397226, -56.2024342), (-15.6386339, -56.2030864), (-15.6380889, -56.2034255), (-15.6370916, -56.2040459), (-15.6366158, -56.2043123), (-15.6363603, -56.2044058), (-15.6361324, -56.2044815), (-15.6357851, -56.2045968), (-15.6353677, -56.2046773), (-15.6349367, -56.2047436), (-15.6347399, -56.2047526), (-15.6328805, -56.2048373), (-15.6320954, -56.2048731), (-15.6312266, -56.2049126), (-15.6270179, -56.2050988), (-15.6265576, -56.2051159)]"
43999341,no,"[(-12.6727145, -55.7938696), (-12.6717114, -55.7936221), (-12.6713398, -55.7935256), (-12.6708792, -55.7934089), (-12.6701282, -55.7932198), (-12.6693444, -55.7930388), (-12.6692992, -55.7930271), (-12.6683434, -55.7927813), (-12.6677355, -55.7926305), (-12.6673163, -55.7925265), (-12.6652685, -55.7920276), (-12.6642924, -55.7917714), (-12.6627728, -55.7913975), (-12.6621177, -55.7912363), (-12.6613684, -55.791051), (-12.6582184, -55.7902721), (-12.6578586, -55.7901943), (-12.65684, -55.7899944), (-12.6552114, -55.7895827), (-12.6530026, -55.7890329), (-12.6514638, -55.788652), (-12.6497574, -55.7882389), (-12.6490927, -55.7880431), (-12.6486085, -55.7878876), (-12.6484279, -55.7878393), (-12.6474832, -55.7874879), (-12.6469414, -55.7872438), (-12.6465201, -55.7870454), (-12.6457271, -55.7866001), (-12.6444604, -55.7857713), (-12.6436988, -55.7851625), (-12.6428508, -55.7844758), (-12.6419165, -55.7837006), (-12.6405084, -55.7825527), (-12.6373966, -55.779959), (-12.636599, -55.7793138), (-12.6361665, -55.7789639), (-12.6352504, -55.7782128), (-12.6340151, -55.7771587), (-12.6330218, -55.7763675), (-12.631526, -55.7751203), (-12.629919, -55.7737792), (-12.6287857, -55.7728726), (-12.6285397, -55.772666), (-12.6267887, -55.7711868), (-12.6252549, -55.7699248), (-12.6202924, -55.7658076), (-12.6169264, -55.7629484), (-12.6158715, -55.7621169), (-12.6140917, -55.7605988), (-12.612427, -55.7592148), (-12.6098985, -55.7571065), (-12.6061266, -55.7539764), (-12.604077, -55.7522222), (-12.6034737, -55.7517368), (-12.6033139, -55.751622)]"
43999343,yes,"[(-14.7282452, -56.3186207), (-14.7275741, -56.3185546), (-14.7266032, -56.3184807), (-14.725833, -56.318439), (-14.7251918, -56.3183995), (-14.7243393, -56.3183802), (-14.7238331, -56.3184246), (-14.7234076, -56.3185125), (-14.7227205, -56.3187477), (-14.7212937, -56.3193351), (-14.7210157, -56.3194375)]"
45415237,yes,"[(-16.4462146, -54.6684087), (-16.4463728, -54.6681994), (-16.4465155, -54.668013), (-16.4466158, -54.6679312), (-16.4467162, -54.6678427), (-16.4474069, -54.6674069), (-16.4475175, -54.6673438), (-16.4476525, -54.6672345), (-16.4478591, -54.6670528), (-16.448271, -54.6666702), (-16.4487758, -54.6662246)]"
45415257,yes,"[(-16.4913202, -54.6464011), (-16.4912518, -54.6462555), (-16.4911727, -54.6461663), (-16.4910839, -54.6461087), (-16.4909719, -54.6460647), (-16.4908557, -54.6460504), (-16.4906991, -54.6460835), (-16.4904981, -54.6461616)]"
45415295,yes,"[(-16.44854, -54.6655139), (-16.4484429, -54.6655098), (-16.4482809, -54.6655179), (-16.448149, -54.6655709), (-16.4480088, -54.6657224)]"
45415875,yes,"[(-16.4792129, -54.6517538), (-16.4806424, -54.6510946)]"
96598034,no,"[(-15.0274435, -56.5147858), (-15.0222096, -56.5144551), (-15.020878, -56.5145731), (-15.0127231, -56.5154418), (-15.0037693, -56.5164332), (-14.9961326, -56.5172366), (-14.9955771, -56.5172929), (-14.9861552, -56.5182517), (-14.9850305, -56.518407), (-14.9802399, -56.5188941), (-14.9789198, -56.5188888), (-14.9776061, -56.5187801), (-14.9760164, -56.5185039), (-14.9746069, -56.5181069), (-14.973301, -56.5175959), (-14.9658072, -56.5137899), (-14.9655909, -56.5136826), (-14.9477664, -56.5045376), (-14.9471949, -56.5042359)]"
96598095,yes,"[(-14.728604, -56.3186458), (-14.7282452, -56.3186207)]"
96614706,yes,"[(-14.5301037, -56.2290288), (-14.5303347, -56.2292612), (-14.5307631, -56.2296259), (-14.5309942, -56.2297949), (-14.5312992, -56.2299964), (-14.5316355, -56.2301919), (-14.5320159, -56.2303783), (-14.5322989, -56.230495), (-14.5325975, -56.2306143)]"
